type,floor,rent,spc1,spc2,lat,lng,toilet,station,parking,internet,gas,washing_machine,air_conditioner,refrigerator,elevator,microwave,breakfast,heating,move_in_date,sink,introduce
OR,B1,34,19,16.5,37.509568,126.946013,1,0,0,1,1,1,1,1,1,1,0,0,1,1,저렴하고 화이트톤의 깨끗한 매물
OR,2,50,23,19.8,37.500102,126.933507,1,1,1,1,1,1,1,1,1,1,1,0,1,1,신대방삼거리역 1번출구 도보 3분 초역세권 저렴하고 깔끔한 원룸
OR,1,36,19,16.5,37.512204,126.936138,1,1,0,1,1,1,1,1,1,1,1,0,1,1,깔끔한 가성비 좋은 원룸풀옵션
OR,1,35,23,19.8,37.504562,126.935673,1,1,0,1,1,1,1,1,1,1,0,0,1,1,장승배기역 4번출구 도보 3분거리 초역세권 도배예정 깔끔한 원룸여기
OR,B1,32,19,16.52,37.503334,126.933507,1,1,0,1,1,1,1,1,1,1,1,0,1,1,장승배기역 도보 7분 역세권 풀옵션 가성비 좋은 원룸
OR,2,37,15,15,37.512401,126.946188,1,1,0,1,1,1,1,1,1,1,1,0,1,1,가성비최고 크기좋고 깨끗한 풀옵션 원룸
OR,1,40,19,16.52,37.501837,126.924584,1,1,0,1,1,1,1,1,1,1,0,0,1,1,보라매역 도보 8분 풀옵션 원룸
OR,2,40,19,16.52,37.511596,126.938471,1,1,0,1,1,1,1,1,1,1,0,0,1,1,노량진 학원가 인접 깔끔한방 
OR,B1,35,19,16.52,37.501324,126.927407,1,1,0,1,1,1,1,1,1,1,1,0,1,1,신대방삼거리역 도보 3분 깔끔하고 가성비 좋은 원룸
OR,B1,42,19,16.52,37.501686,126.927859,1,1,0,1,1,1,1,1,1,1,1,0,1,1,신대방삼거리역 도보 4분 풀옵션 역세권 원룸
OR,1,38,19,16.52,37.502724,126.924984,1,0,0,1,1,1,1,1,1,1,0,0,1,1,가성비 끝판왕 풀옵션 원룸
OR,B1,40,19,16.52,37.501173,126.925904,1,1,0,1,1,1,1,1,1,1,1,0,1,1,신대방삼거리역 도보 4분 초역세권 풀옵션 원룸
OR,1,60,33,23.1,37.503738,126.951926,1,0,0,1,1,1,1,1,1,1,0,0,1,1,중앙대 초역세권 가장 넓은 원룸
OR,3,40,23,19.8,37.512297,126.935181,1,1,0,1,1,1,1,1,1,1,1,0,1,1,위치놓고깔끔한원룸
OR,3,58,23,19.8,37.512297,126.935181,1,1,0,1,1,1,1,1,1,1,1,0,1,1,위치놓고깔끔한원룸
