type,floor,rent,spc1,spc2,lat,lng,toilet,station,parking,internet,gas,washing_machine,air_conditioner,refrigerator,elevator,microwave,breakfast,heating,move_in_date,sink,introduce
OR,B1,42,30.51,30,37.51269,126.935376,1,0,0,1,1,1,1,1,1,1,0,0,1,1,올수리 되어있음 깨끗하고 조용함.개발지역 아님
OR,6,38,14,14,37.511277,126.941834,1,1,0,1,1,1,1,1,1,1,1,0,1,1,노량진역 가까운  리모델링 깔끔한 풀옵션 원룸 가성비좋아요
OR,1,43,29,18.1,37.508488,126.946086,1,0,0,1,1,1,1,1,1,1,1,0,1,1,실2층 지상층. 쾌적한 준신축. 풀옵션 관리잘되는집
OR,B1,38,19,16.52,37.501832,126.92791,1,1,0,1,1,1,1,1,1,1,1,0,1,1,신대방삼거리역 도보 3분 역세권 가성비 좋은 원룸
OR,B1,33,19,16.52,37.504157,126.94537,1,1,0,1,1,1,1,1,1,1,0,0,1,1,가성비  갑인 원룸 투척이요
OR,B1,32,19,16.52,37.502576,126.927457,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"신림선, 7호선 더블역세권 원룸 가성비 좋은 원룸"
OR,1,35,16,13.22,37.497969,126.931852,1,1,0,1,1,1,1,1,1,1,0,0,1,1,문.의.다.수신축 깔끔한 화이트톤 인테리어 
OR,1,35,33,19.8,37.49447,126.929845,1,0,0,1,1,1,1,1,1,1,0,0,1,1,신대방삼거리역과 보라매병원역 사이 초가성비 원룸
OR,3,42,23.14,23,37.495266,126.925819,1,0,1,1,1,1,1,1,1,1,1,0,1,1,"주차가능,보라매병원 도보5분, 방 넓고 깨끗한 풀옵션 1룸 월세"
DDDGG,1,60,30,25.8,37.497614,126.933795,1,0,0,1,1,1,1,1,1,1,1,0,1,1,지상층 저렴한 풀옵션 투룸 즉시입주 융자무
OR,1,30,26,19.83,37.497151,126.924783,1,1,0,1,1,1,1,1,1,1,1,0,1,1,신대방삼거리역 도보5분 신축급 가성비최고 저렴한월세 완전깔끔
DDDGG,4,55,30,18,37.494956,126.926344,1,0,0,1,1,1,1,1,1,1,1,0,1,1,신대방삼거리역 신축급 풀옵션 분리형 원룸 월세
OR,B1,30,19.83,19,37.495198,126.924997,1,0,1,1,1,1,1,1,1,1,0,0,1,1,"보라매병원 도보5분이내,신축급 분리형 풀옵션 1룸 "
DDDGG,2,25,31.78,31,37.499388,126.939631,1,0,1,1,1,1,1,1,1,1,1,0,1,1,교통편리한 주택가 큰평수 원룸
OR,3,50,33,21.49,37.494807,126.956632,1,1,0,1,1,1,1,1,1,1,1,0,1,1,숭실대 중문과 메인상권 초역세권 저렴한 지상층 원룸
OR,B1,35,19,16.53,37.497686,126.926669,1,1,0,1,1,1,1,1,1,1,1,0,1,1,지층같지 않는 1층 원룸입니다. 깔끔합니다
OR,B1,35,23,22,37.49447,126.929845,1,0,1,1,1,1,1,1,1,1,1,0,1,1,보라매병원 인근 사이즈크고 가성비까지 챙기는 풀옵션원룸
DDDGG,5,48,42,17,37.497305,126.924527,1,1,1,1,1,1,1,1,1,1,0,0,1,1,"xi큰길위치, 옵션O, 내부계단, 4층높이, 빠른입주가능."
OR,B1,39,33,19.84,37.493021,126.955837,1,1,0,1,1,1,1,1,1,1,0,0,1,1,숭실대입구역 1번 출구 역세권 매우 저렴한 분리형 원룸
OR,2,47,30,19.84,37.497156,126.925289,1,1,0,1,1,1,1,1,1,1,0,0,1,1,신대방삼거리역 도보 5분 가성비 끝판왕 수납많고 전자식 건조대까기
OR,2,38,23.2,23,37.496401,126.929182,1,1,0,1,1,1,1,1,1,1,0,0,1,1,가성비 좋은 신축급 깔끔한 지상층오픈형원룸
OR,1,30,25,20,37.496456,126.929506,0,1,1,1,0,1,1,0,1,0,0,0,0,0,
OR,2,28,25,20,37.494497,126.926194,0,1,1,0,1,0,0,0,0,1,0,0,0,0,
OR,1,40,25,20,37.496289,126.929131,0,1,1,0,1,0,1,1,1,0,1,1,0,0,
OR,1,35,25,20,37.496915,126.926035,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"신삼역 역세권 깔끔한 신축급 원룸입니다,"
OR,B1,33,21,19.83,37.483033,126.979329,1,1,0,1,1,1,1,1,1,1,0,0,1,1,융자 없는 깔끔 저렴 오픈형 원룸 
OR,B1,25,16.56,16,37.496164,126.982131,1,0,0,1,1,1,1,1,1,1,0,0,1,1,"반지층, 매우저렴, 1인가구, 대로변"
DDDGG,2,35,64,13.2,37.487624,126.967368,1,0,0,1,1,1,1,1,1,1,1,0,1,1,"카카오대출가,남성역도보7분,도로변바로안쪽위치,풀옵션가성비최고"
OR,1,37,20,16.2,37.487902,126.965408,1,0,1,1,1,1,1,1,1,1,1,0,1,1,급월세.방1.풀옵션 상태양호.평지.
OR,B1,43,19.83,19.83,37.481415,126.968975,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"신축급 건물의 깔끔한 풀옵션, 채광O, 애완O, 보증금조율O"
OR,4,45,26,19.83,37.480853,126.976216,1,0,0,1,1,1,1,1,1,1,0,0,1,1,급매물 저렴한 풀옵션 원룸
OR,4,45,19.83,19.83,37.480853,126.976216,1,0,0,1,1,1,1,1,1,1,0,0,1,1,"초저렴 풀옵션 원룸, 역세권"
OR,2,40,24,23.14,37.496963,126.923002,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1.5룸 큰방 가성비 최고 보증금조절가능
OR,B1,40,29.8,29,37.496963,126.923002,1,0,1,1,1,1,1,1,1,1,1,0,1,1,실제사진O｜즉시 입주O｜주차O｜너무 넓은 반지층 분리형 원룸
OR,2,29,20,19.83,37.497541,126.923334,1,1,0,1,1,1,1,1,1,1,0,0,1,1,보라매역 도보4분 초초역세권 가성비최고 풀옵원룸 보증금조절가능
OR,4,50,25,20,37.496672,126.923428,1,0,1,0,1,0,1,1,0,0,1,0,1,0,
VL,1,35,23,19.84,37.497148,126.920298,1,1,0,1,1,1,1,1,1,1,1,0,1,1,보라매역 4분더블역세권가성비 최고 원룸
OR,1,35,23,19.84,37.497148,126.920298,1,1,0,1,1,1,1,1,1,1,1,0,1,1,보라매역 4분더블역세권가성비 최고 원룸
OR,2,35,25,20,37.499025,126.922133,1,1,1,1,1,1,1,1,1,1,0,1,1,1,이가격에 가스까지 포함이라니 놓치지 마세요
DDDGG,2,40,24,18.18,37.498987,126.921844,1,1,1,1,1,1,1,1,1,1,1,0,1,1,주차가능. 위치 좋은 가성비 원룸
OR,1,32,19,16.53,37.487234,126.908894,1,1,1,1,1,1,1,1,1,1,0,0,1,1,"초역세권 완전 예쁘고, 주차가능한 원룸입니다"
DDDGG,2,35,27,27,37.496297,126.916501,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"보라매초교옆,2층 방2칸,4월말이사,주차안됨"
OR,4,40,21,18,37.486528,126.90947,1,1,0,1,1,1,1,1,1,1,1,0,1,1,깔끔한 분리형 원룸이 나왔습니다
OR,1,50,19,16.5,37.490024,126.910641,0,1,0,0,1,0,1,0,0,1,1,0,1,0,
OR,B1,37,19,16.5,37.486569,126.908603,0,1,0,0,1,1,1,1,1,1,0,1,0,1,
OR,B1,30,21,17,37.499418,126.923459,1,1,0,1,1,1,1,1,1,1,0,0,1,1,보라매역인근 대로변 가성비 좋은 원룸
OR,B1,45,85,29.7,37.48839,126.907975,1,1,0,1,1,1,1,1,1,1,0,0,1,1,신축 도로가. 풀옵션
OR,3,40,13.2,13,37.488238,126.910468,1,1,1,1,1,1,1,1,1,1,0,0,1,1,주차협의후결정
OR,1,50,18,18,37.490024,126.910641,1,1,0,1,1,1,1,1,1,1,1,0,1,1,신축급 깔끔한 풀옵션 월세입니다.
OR,2,55,13.2,13,37.486589,126.909721,0,1,1,1,1,0,1,1,1,0,1,0,1,1,
OR,2,40,26,19.8,37.498987,126.921844,1,1,0,1,1,1,1,1,1,1,1,0,1,1,초초역세권 지상층 넓은 원룸
OR,1,25,23,19.83,37.489094,126.909658,1,1,0,1,1,1,1,1,1,1,0,0,1,1,구름위 떠있는 기분화이트톤 분리형 원룸
OR,B1,33,23,19.84,37.487234,126.908894,1,1,0,1,1,1,1,1,1,1,1,0,1,1,2호선 신대방역 초역세권 도보5 컨디션 최상급 넓고 깔끔한 방
OR,1,33,23,19.83,37.486528,126.90947,1,1,1,1,1,1,1,1,1,1,0,0,1,1,신대방역 도보3분 실매물 실가격 가성비 최고 원룸
OR,2,45,26,23.14,37.495843,126.923283,1,1,0,1,1,1,1,1,1,1,0,0,1,1, 무드등 분리형원룸 FULL 빌트인 동일 가격대 최고집 
OR,1,30,25,20,37.499025,126.922133,1,1,0,1,1,1,1,1,1,1,1,0,1,1,보라매역 역세권 놓치시면 후회할만한 매물을 가지고왔어요
OR,B1,30,23,16.52,37.486631,126.907637,1,0,1,1,1,1,1,1,1,1,1,0,1,1,"깔끔한 신대방역세권 대로변 원룸, 융자없는집"
OR,2,50,23,19.84,37.496672,126.923428,1,0,1,1,1,1,1,1,1,1,1,0,1,1,"깔끔한 원룸, 풀옵션, 넓은 방"
OR,1,55,20,20,37.508522,126.95904,1,0,0,1,1,1,1,1,1,1,0,0,1,1,"높은1층, 중앙대4분 중대병원 4분거리 풀옵션 조용한원룸 햇빛굿"
OR,3,45,74,19.83,37.508284,126.958446,1,0,0,1,1,1,1,1,1,1,0,0,1,1,정문 3분 대형 풀옵션 원룸 위치 좋고 비용 좋아요.
DDDGG,3,45,16.52,16,37.507881,126.957607,1,0,1,1,1,1,1,1,1,1,1,0,1,1,"정문 3분 풀옵션 원룸 월차임에 수도세, 인터넷 포함 가성비 굿"
OR,2,35,16,13.22,37.503202,126.922151,1,1,0,1,1,1,1,1,1,1,1,0,1,1,안심추천 21년 신축 마지막찬스 주인공이 되세요
APT,7,58,24,16.67,37.57243,127.0167,1,1,0,1,1,1,1,1,1,1,1,0,1,1,동묘역1분 전입가능 현관보안O 풀옵션 빠른입주가
OPST,3,50,33,23.4,37.60491,126.964743,1,0,0,0,1,1,1,0,1,0,1,1,0,1,
OR,B1,55,16.5,16,37.605827,126.956718,1,0,1,1,1,1,1,1,1,1,1,0,1,1,상명대 후문 예쁜 쉐어하우스
OR,3,50,20,17,37.551282,127.143474,1,1,1,1,1,1,1,1,1,1,1,0,1,1,깔끔한 풀옵션원룸 명일역초역세권 교통노선 굿
DDDGG,B1,40,117,34,37.543592,127.136307,1,0,0,1,1,1,1,1,1,1,1,0,1,1,굽은다리역세권 전용이 넓고 큼직한 2룸 즉시입주
DDDGG,1,30,28,28,37.543243,127.1451,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"수리되어 깨끗한 원룸, 굽은다리역 5분, 주인 좋음,"
DDDGG,B1,40,35,33,37.549438,127.140364,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"GOLD, 방2화1, 넓은편임, 명일역 , 입주하시"
DDDGG,2,50,39.6,39,37.559444,127.168803,1,1,1,1,1,1,1,1,1,1,0,0,1,1,저렴하고 쾌적한 투룸 월세 I 깨끗한 거주환경 I 상일동역 도보권
OPST,6,60,38,18.52,37.564434,127.173736,1,0,1,1,1,1,1,1,1,1,0,0,1,1,대로변 버스정류장 바로 앞 귀한 오피스텔 교통주차편리
OPST,2,45,25,13.44,37.565221,127.172935,1,0,0,1,1,1,1,1,1,1,1,0,1,1,복층풀옵션 I 사업자가능 I  부가세별도 I  입주협의
OPST,4,50,25,13.44,37.565221,127.172935,1,0,1,1,1,1,1,1,1,1,1,0,1,1,관리비저렴하고 혼자살기 좋은 저렴하고예쁜복층오피스텔
OR,6,40,19,16.5,37.510233,126.898609,1,0,1,1,1,1,1,1,1,1,1,0,1,1,"신도림역 도보역세권 풀옵션,엘베,뷰좋음,주차,즉시입주가능"
OR,4,50,28,28,37.504594,126.921608,1,1,0,1,0,1,1,1,1,1,1,0,1,0,
OR,3,45,33,16.5,37.522185,126.903477,1,1,0,1,1,1,1,1,1,1,1,0,1,1,AA영등포시장역 소액보증금 저렴한월세 가성비 좋은 원룸
DDDGG,B1,30,20,20,37.506098,126.902553,1,0,0,1,1,1,1,1,1,1,0,0,1,1,"올수리,반지층,에어컨옵션.주방분리형,조용한주택가,빠른입주가능"
OR,4,45,19.83,19,37.508632,126.897266,1,0,0,1,1,1,1,1,1,1,0,0,1,1,적절한수납공간 있을건다있는 풀옵션원룸
OR,B1,40,19.83,19,37.509788,126.902409,1,0,0,1,1,1,1,1,1,1,1,0,1,1,관리잘되고 저렴한 깔끔하고 조용한 풀옵션원룸
DDDGG,6,40,58,30,37.507905,126.902531,1,0,1,1,1,1,1,1,1,1,1,0,1,1,방1大 화장실 주방 세탁실 구분
OR,6,55,16.52,16,37.527046,126.894821,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"최저가,원룸,관리비포함55만,여성전용,초역세권,상태깨끗,풀옵션,전입신고O"
OR,4,43,23,18,37.508632,126.897266,1,0,1,1,1,1,1,1,1,1,1,0,1,1,신도림역 최저월세
OR,2,50,23,18,37.508256,126.897549,1,0,1,1,1,1,1,1,1,1,0,0,1,1,4년차 신축급 깔끔한 원룸
OR,2,28,16,13.22,37.499387,126.917514,0,1,0,0,1,0,0,0,1,1,1,0,0,0,
OR,2,48,19.8,19,37.489804,126.903426,1,0,0,1,1,1,1,1,1,1,1,0,1,1,2호선 구디역 도보7분 신축급 컨디션 크고 깨끗한 분리형 원룸
OR,2,50,30,18.2,37.499131,126.916718,1,1,0,1,1,1,1,1,1,1,1,0,1,1,보라매역 도보 5분 이내 화이트톤 정남향 밝은방 넓고 깨끗해요
OR,2,37,19.8,19,37.491922,126.904675,1,0,1,1,1,1,1,1,1,1,1,0,1,1,강남성심병원 인근 2호선 구디역 도보15분 가성비 좋은 원룸
OR,3,35,16.5,16,37.488443,126.904334,1,1,0,1,1,1,1,1,1,1,0,0,1,1,2호선 구디역 초역세권 풀옵션 깔끔한 분리형 원룸 채광좋아요
OR,2,30,73,18.4,37.497381,126.915215,1,1,0,1,1,1,1,1,1,1,0,0,1,1,굿추천.지상층 가성비최고.풀옵션 원룸.보라매역과 보라매공원 도보.빠른입주
OR,6,45,22,22,37.491601,126.90782,1,0,1,1,1,1,1,1,1,1,0,0,1,1,공실 풀옵션 리모델링 원룸 
OR,2,30,17.5,17,37.497381,126.915215,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"실 매물,가성비풀옵션,보라매공원앞,2층,즉시입주가능"
DDDGG,2,20,16,11.57,37.498663,126.901556,1,0,1,1,1,1,1,1,1,1,1,0,1,1,주변 대림역과 신풍역의 2층 방1칸 월세
OR,1,40,20,16,37.492594,126.906659,1,0,0,1,1,1,1,1,1,1,0,0,1,1,강남성심병원옆 보증금조정가능
OR,2,50,26,26,37.491684,126.904428,1,0,0,1,1,1,1,1,1,1,1,0,1,1,풀옵션. 분리형원룸 입주일협의가능
OR,B1,40,12,11.61,37.497741,126.915331,1,1,0,1,1,1,1,1,1,1,0,0,1,1,신축급 분리형원룸 큰도로가 안심
OR,2,50,19,18.51,37.499131,126.916718,1,1,0,1,1,1,1,1,1,1,1,0,1,1," S 보라매역세권 풀옵션, 지상층, 남향, 즉시입주가능"
DDDGG,2,50,77,25,37.495232,126.901326,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"주차가능,대림역 5분거리,풀옵션,분리형,환하고 밝음"
OR,B1,34,30,24,37.496092,126.906765,1,0,1,1,1,1,1,1,1,1,0,0,1,1,넓은원룸  빠른입주가능 풀옵션 관리비포함40만원입니다
OR,B1,50,21.48,21.48,37.49697,126.905834,1,0,0,1,1,1,1,1,1,1,1,0,1,1,신풍역 역세권 분리형 대형 원룸초가성비 월세특급매물
OR,4,60,25,20,37.495815,126.896804,1,1,1,1,1,1,1,1,1,1,0,0,1,1,"정말 넓은 역세권 풀옵션 엘베O, 주차O 즉시입주 가능합니다."
DDDGG,3,38,18.01,18,37.496146,126.906974,1,0,1,1,1,1,1,1,1,1,1,0,1,1,풀옵션에 원목침대. 대형마트. 주거환경 매우 우수함.
OR,2,32,25,20,37.498855,126.915951,0,1,1,0,1,0,1,1,1,0,1,0,1,0,
OR,1,32,20,17.19,37.4991,126.917069,1,1,0,1,1,1,1,1,1,1,1,0,1,1,초역세권에 평지에 이가격이랍니다
OR,B1,30,56,18.76,37.496324,126.904725,0,0,1,0,0,1,0,0,1,1,0,1,1,1,
DDDGG,2,50,30,30,37.495911,126.906545,1,0,1,1,1,1,1,1,1,1,1,0,1,1,"2층주인세대, 방2개 햇빛들어옴"
OR,3,45,19,19,37.491684,126.904428,1,0,0,1,1,1,1,1,1,1,0,0,1,1,분리형 풀옵션 깔끔하고 저렴한 원룸
OR,2,30,16.5,16,37.497381,126.915215,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"저렴한 방, 지상층, 풀옵션, 빠른입주 가능"
OR,3,40,23,19.84,37.498304,126.916423,1,1,0,1,1,1,1,1,1,1,1,0,1,1,보라매역 도보 6분 채광이 끝내주는 풀옵션 분리형 원룸
OR,2,48,24,21.16,37.496109,126.896681,0,1,1,1,0,1,0,0,0,1,0,0,1,0,
OR,4,40,21,19.83,37.498304,126.916423,1,1,0,1,1,1,1,1,1,1,1,0,1,1,보라매역 도보6분 풀옵션 원룸 엘베o 채광좋음 깔끔 가성비최고
OR,B1,33,30,19,37.497658,126.915494,1,1,0,1,1,1,1,1,1,1,0,0,1,1,보라매역 도보 7분 보라매공원 건넛편 완전 싼집 진짜 싼집 정말 싼집
OR,2,50,20,17,37.49825,126.917319,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"역세권,풀옵션, 깨끗한 원룸 매물 나왔습니다."
OR,4,55,19.8,19.8,37.490933,126.89989,1,1,0,1,1,1,1,1,1,1,0,0,1,1,월세특급매물화이트톤 완전풀옵션신축급컨디션 보장합니다
OR,1,29,19,16.53,37.490446,126.906222,1,0,1,1,1,1,1,1,1,1,0,0,1,1,확인매물가성비 풀옵션 원룸
OR,B1,50,19.84,19.84,37.489436,126.903402,1,0,0,1,1,1,1,1,1,1,0,0,1,1,2호선 역세권 화이트톤 인테리어 준신축급 컨디션 예뻐서 계약하는방
OR,2,50,20,19.83,37.499131,126.916718,1,1,1,1,1,1,1,1,1,1,1,0,1,1,보라매역 도보5분 신축급 퓰옵원룸 화이트톤 깔끔 보증금조절가능
OR,3,50,19.8,19,37.49039,126.905232,1,0,0,1,1,1,1,1,1,1,1,0,1,1,2호선 구디역 신축급 큰원룸 양창에 채광좋은방 분리형구조
OR,1,50,19.1,19,37.499131,126.916718,1,1,0,1,1,1,1,1,1,1,0,0,1,1,즉시입주 가능한 채광 좋은 가성비원룸
OR,3,50,23.14,23,37.48929,126.901094,1,0,1,1,1,1,1,1,1,1,0,0,1,1,"2호선 꿀위치,깔끔하고 수납공간 많은 신축"
OR,5,55,30,18.13,37.494068,126.899745,1,1,1,1,1,1,1,1,1,1,1,0,1,1, 주차8만 역세권 복층 풀옵션 오피스텔 엘베있음
OR,1,42,19,17.19,37.497027,126.897786,1,1,0,1,1,1,1,1,1,1,1,0,1,1, 저렴하고 깔끔한 지상층 풀옵션
OR,1,39,19.8,19,37.489805,126.903426,1,0,0,1,1,1,1,1,1,1,0,0,1,1,2호선 구로디지털단지역 도보7분 신축급 깔끔한 분리형구조의 가성비
OR,2,40,20,20,37.490563,126.906169,1,0,1,1,1,1,1,1,1,1,1,0,1,1,밝고 깨끗한 원룸  빠른입주가능 풀옵션
OR,2,35,19,16.53,37.490572,126.906042,1,0,1,1,1,1,1,1,1,1,0,0,1,1," 1000,32 조절가능 깔끔한 풀옵션"
OR,3,50,21,17.85,37.489506,126.903305,1,0,1,1,1,1,1,1,1,1,1,0,1,1, 구디역 역세권 깔끔한 분리형 풀옵션
OR,3,50,23,6,37.49039,126.905232,1,0,1,1,1,1,1,1,1,1,0,0,1,1,"전입신고OK채광, 사이즈 모두다 굿"
OR,2,48,23,19.84,37.489804,126.903426,1,0,1,1,1,1,1,1,1,1,0,0,1,1,"전입가능신축급 방 사이즈 매우 넓어요,"
OR,3,40,19,16.53,37.490563,126.906169,1,0,0,1,1,1,1,1,1,1,1,0,1,1,전입가능신축급 깔끔한 지상층 원룸
OR,B1,45,23,22,37.499008,126.917509,1,1,0,1,1,1,1,1,1,1,0,0,1,1,보라매역세 5분 원룸큰방 깔끔함
OR,1,40,21.4,21,37.499131,126.916718,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"역세권, 지층, 풀옵션, 치안안심, 밝은집"
OR,4,55,21,14.52,37.493155,126.89643,1,1,1,1,1,1,1,1,1,1,1,0,1,1,초역세권 엘베있음 
DDDGG,3,38,23,21,37.49604,126.909291,1,0,1,1,1,1,1,1,1,1,1,0,1,1,"옥탑큰방, 풀옵션,분리형주방,세탁실 창고,올수리 단열공사"
OR,4,45,25,25,37.491673,126.901103,1,1,0,1,1,1,1,1,1,1,0,0,1,1,분리형 채광좋음 시세보다저렴해요
OR,3,40,19.84,19,37.489506,126.903305,1,0,1,1,1,1,1,1,1,1,0,0,1,1,"2호선 꿀위치,저렴하게 신축 원룸 사용 가능"
VL,3,40,23,19.84,37.48988,126.899398,1,1,0,1,1,1,1,1,1,1,1,0,1,1,구디역세권 신축급 예쁜 분리형원룸 저렴하고 깔끔해요
OR,4,50,28,28,37.491033,126.898257,1,1,0,1,1,1,1,1,1,1,1,0,1,1,신축급 분리형 주방공간이 넓음 방1칸
DDDGG,B1,30,26.4,26,37.579081,126.909567,1,0,1,1,1,1,1,1,1,1,1,0,1,1,아주 저렴하고 위치 좋으며 교통 편리 하고 내부 깔끔한 평지층
DDDGG,2,40,34,33.1,37.582901,126.916949,1,0,1,1,1,1,1,1,1,1,0,0,1,1,북가좌동 깨끗한 원룸
DDDGG,B1,35,40,36,37.581828,126.916731,1,0,1,1,1,1,1,1,1,1,1,0,1,1,빌라형다가구 방2화1 입주협의
DDDGG,2,40,36,33,37.581417,126.91717,0,0,1,1,1,1,0,0,0,1,0,1,1,1,
DDDGG,2,25,20,20,37.593222,126.947017,1,0,1,1,1,1,1,1,1,1,1,0,1,1,깔끔한 풀옵션 원룸. 즉시입주 협의
OR,B1,35,15,15,37.564366,126.931823,1,0,0,1,1,1,1,1,1,1,1,0,1,1,연대 서문근처 상태좋은 저렴한 매물입니다
DDDGG,1,33,16.6,16,37.572004,126.927264,1,0,0,1,1,1,0,0,0,0,0,0,1,0,
DDDGG,B1,40,26.76,26,37.60208,126.948901,1,0,0,1,1,1,1,1,1,1,1,0,1,1,홍은동 대로변 1층 같은 지층 투룸 월세 즉시 또는 협의입주가
OR,2,30,34,34,37.593858,126.947431,1,0,1,1,1,1,1,1,1,1,0,0,1,1,평지 홍제역세권 즉시입주 미닫이포함 방2
OR,5,35,87,18,37.599725,126.948432,1,0,0,1,1,1,1,1,1,1,1,0,1,1,풀옵션
OR,B1,40,30,17,37.574651,127.029689,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"['10년이내', '융자금없는', '역세권']"
OR,B1,40,30,17,37.572407,127.027301,1,1,0,1,1,1,1,1,1,1,1,0,1,1,
OR,1,30,22,20,37.577244,127.066534,1,0,0,1,1,1,1,1,1,1,0,0,1,1,
OR,B1,35,16.53,16,37.59105,127.05945,1,1,0,1,1,1,1,1,1,1,0,0,1,1,
OR,3,40,22,20,37.579388,127.075809,1,0,0,1,1,1,1,1,1,1,0,0,1,1,
DDDGG,B1,40,62,28,37.57891,127.058929,1,0,0,1,1,1,1,1,1,1,1,0,1,1,
OR,B1,40,20,20,37.596922,127.056232,1,1,0,1,1,1,1,1,1,1,0,0,1,1,
DDDGG,3,30,90,17,37.598793,127.054414,1,1,0,1,1,1,1,1,1,1,1,0,1,1,
DDDGG,B1,35,40,38,37.616865,126.921175,1,1,1,1,1,1,1,1,1,1,0,0,1,1,
OR,4,40,13,13,37.618485,126.917681,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"즉시입주,입주협의가능,엘베O,가격굿,연신내 풀옵션원룸"
OR,B1,35,16,14,37.622913,126.918136,1,0,0,1,1,1,1,1,1,1,0,0,1,1,"신축급 18년식 원룸 지층, 3호선6호선 연신내역 도보8분"
OR,2,35,17,15,37.619722,126.92369,1,1,0,1,1,1,1,1,1,1,0,0,1,1,3호선 연신내역 인근 풀옵션 원룸
OR,3,40,13,13,37.618485,126.917681,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"엘베O, 착한 보증금,월세 대중교통 이용편리 연신내 원룸 월세"
OR,3,40,13,13,37.618485,126.917681,1,1,0,1,1,1,1,1,1,1,0,0,1,1, 연신내 초역세권 풀옵션 원룸월세
OR,2,40,14,13,37.618485,126.917681,1,1,0,1,1,1,1,1,1,1,0,0,1,1,3호선 연신내역 도보 6분 풀옵션 원룸
OR,2,35,14,14,37.599879,126.912717,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"부담없는 보증금,월세 착한 관리비 응암역 풀옵션 원룸"
OR,B1,29,17,15,37.602316,126.920255,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"6호선 역촌역 도보 7분, 풀옵션 원룸"
OR,2,32,18,18,37.602316,126.920255,1,1,1,1,1,1,1,1,1,1,1,0,1,1,가성비 좋은 응암역 근처 풀옵션 원룸월세 지정주차가능
OR,1,35,16,16,37.612909,126.91097,1,0,0,1,1,1,1,1,1,1,1,0,1,1,빌트인 치안걱정NO 구산동 풀옵션 원룸월세
OR,2,40,13,13,37.618485,126.917681,1,1,0,1,1,1,1,1,1,1,1,0,1,1,연신내역 도보 5분 저렴한 풀옵션 원룸
OR,B1,32,18.18,18,37.602316,126.920255,1,1,1,1,1,1,1,1,1,1,0,0,1,1,주차가능 대로변 근처 위치 저렴한 보증금 월세 응암역 풀옵션 원룸
OR,1,35,16,16,37.612909,126.91097,1,0,1,1,1,1,1,1,1,1,0,0,1,1,혼자살기 좋은 깔끔한 빌트인 풀옵션 원룸월세 즉시입주 가능
OR,5,40,18,18,37.595954,126.915868,1,1,1,1,1,1,1,1,1,1,0,0,1,1,불광천 바로앞 응암역세권 풀옵션 원룸
OR,B1,30,20,16,37.616742,126.922188,1,1,0,1,1,1,1,1,1,1,1,0,1,1,연신내역 도보2분 깔끔한 풀옵션 원룸 즉시입주
OR,B1,32,19,16,37.602316,126.920255,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"6호선 역촌역 도보 7분, 풀옵션 원룸"
OR,B1,25,24,24,37.620131,126.918788,1,1,1,1,1,1,1,1,1,1,1,0,1,1,I로데오I연신내I 연신내 신축급 넓은 원룸
OR,3,30,27.83,27,37.609193,126.925116,1,1,0,1,1,1,1,1,1,1,0,0,1,1,즉시입주가 l 넓은 분리형 원룸 l 불광역 역촌역 6분
OR,3,40,11,8.82,37.602714,126.924294,1,1,0,1,1,1,1,1,1,1,0,0,1,1,6호선 역촌역 도보 7분 풀옵션 원룸
OR,B1,35,22,20,37.589954,126.911699,1,1,0,1,1,1,1,1,1,1,1,0,1,1,새절초역세 전용 넓고 상태 좋은 약간 반지하 풀옵션 원룸
OR,2,37,19,13.5,37.583327,126.892249,1,1,0,1,1,1,1,1,1,1,0,0,1,1,수색역 도보5분거리 풀옵션 원룸
OR,1,33,15,15,37.586876,126.913903,1,0,1,1,1,1,1,1,1,1,1,0,1,1,불광천 바로 옆  산책하기 좋은  풀옵션 원룸월세 즉시입주 주차가능
OR,1,35,17,17,37.590596,126.9092,1,1,0,1,1,1,1,1,1,1,1,0,1,1,새절역 근처 혼자살기 좋은 착한 원룸월세 빠른입주 가능해요
OR,2,35,17,17,37.590596,126.9092,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"착한 보증금,월세 단기가능 새절역 도보 가능한 원룸월세"
OR,1,35,20,17,37.591,126.912478,1,1,0,1,1,1,1,1,1,1,0,0,1,1,새절초역세 매우 저렴하고 상태 좋은 풀옵션 원룸
