atclNm,flrInfo,rentPrc,spc1,spc2,lat,lng,atclFetrDesc,toilet,station,parking
OR,2,40,29,18,37.510443,126.945963,학원가인접한 대로변 치안걱정없는집,1,0,0
DDDGG,1,50,32,29.32,37.510767,126.954717,노들역5분 방2 내부좋습니다,0,1,1
OR,2,33,22,21,37.501504,126.924261,위치 컨디션 퀄리티 가격 하나도 빼놓을게 없어요,0,1,0
OR,2,35,-,14.9,37.504099,126.948156,	O 상도역 역세권 깔끔한 풀옵션 원룸,0,1,0
VL,3,50,21,17.18,37.511696,126.955595,2014년식 풀옵션 원룸 내부좋습니다,0,1,1
OR,3,50,17,17.18,37.511696,126.955595,풀옵션으로 2013년식 내부좋습니다 빠른입주가능,0,1,1
OR,2,35,20,13.2,37.511765,126.955285,노들역3분 방1 옵션완벽 저렴한시세,0,1,1
OR,2,42,29,19.8,37.508982,126.945225,개방감있는 양창원룸 노량진역세권,1,0,0
OR,2,48,18,18,37.510443,126.945963,노량진.지상층저렴한방.위치좋아안전.편의점인근,1,0,0
OR,B1,50,19,16.5,37.50054,126.924358,실제사진O｜즉시 입주O｜현관보안O｜7호선 이용이 편리한 원룸,1,1,0
DDDGG,B1,45,23,23.1,37.511402,126.954329,방1크고  내부상태 깔끔 도배장판 새로함,0,1,1
OR,4,48,18,18,37.512087,126.940868,노량진역 도보 2분거리 위치굿 채광 통풍좋고 깨끗한원룸,0,1,0
OR,B1,37,25,19,37.501142,126.950621,상도역5분 중앙대 숭실대 치안굿 채광굿,0,1,0
OR,3,38,16,16,37.509749,126.945797,2개의 큰창으로 햇빛잘들고 통풍좋으며 조용하고 깨끗한 원룸,1,0,0
DDDGG,2,40,20,19.8,37.51077,126.955298,풀옵션으로 방 넓고 좋습니다 빠른입주,0,1,1
OR,3,55,14,14,37.505682,126.956051,중문 3분 풀옵션 원룸 평지 지상층,0,0,1
OR,1,38,26,16.5,37.508545,126.94638,실2층. 리모델링원룸. 깨끗하게 관리잘되는집.,0,0,0
OR,1,45,23,21,37.512337,126.936131,"진짜 깔끔한 꿀매물,  가격도 저렴해요",0,1,0
OR,2,40,22,20,37.501504,126.924261,대로변 평지 정남향 채광까지 좋은 원룸,0,1,0
DDDGG,1,40,23,14.85,37.511294,126.926343,"1호선 대방역 초초역세권, 샛강역 도보 15분, 풀옵션, 직장인 추천",0,1,0
OR,3,60,29,20.4,37.500217,126.952386,융자없는집. 엘베있는집. 리모델링완료. 화이트톤넓은집,1,0,0
OR,2,40,14,14.92,37.503849,126.934701,7호선 장승배기역 도보5분 원룸,1,1,0
DDDGG,1,40,23,14.85,37.511294,126.926343,"1호선 대방역 초초역세권, 샛강역 도보 15분, 풀옵션, 직장인 추천",0,1,0
OR,2,60,79,22,37.508188,126.95698,신축원룸 중앙대3분거리 중대병원5분거리 흑석역8분거리 저렴한원룸,1,0,0
OR,2,49,16,16,37.506221,126.948326,신축5년된 풀옵션원룸으로 조용하고 깨끗하며 전세가능,0,1,0
OR,2,40,15,15,37.50842,126.946562,남동향 남서향 2개의 큰창으로 햇빛 잘들고 가격이 정말 저렴한 원룸,1,0,0
OR,3,40,-,16.52,37.509783,126.945991,학원가 관리잘된 원룸,1,0,0
OR,B1,35,29,18.1,37.508535,126.947478,깨끗한준신축. 보안좋고 관리잘되는집. 안심대로변,0,0,1
OR,1,40,-,14.57,37.512146,126.937809,안심추천.깔끔.풀옵션.가성비굿.,0,1,0
OR,2,48,12,12,37.511609,126.944829,신축4년차 보안 잘 되어 있는 원룸 월세,0,1,0
OR,2,52,29,18,37.501142,126.950621,융자없는집. 상도역4분. 중앙대숭실대. 편의시설밀집. 안전한위치,0,1,0
